MatchID,Defending Result,Defending Team,Chasing Team,Defending Stadium,Time,Defending Toss,Bat2 Strength,Bowl2 Strength,First Inn Score,First Inn Median,Second Inn Median,Ground Altitude,Ground Length,Ground Width
174,1,KOLKATA KNIGHT RIDERS,PUNE WARRIORS,HOME,Day,WON,29189.33511,4152.779465,150,135,135,5,135,135
175,1,RAJASTHAN ROYALS,PUNJAB KINGS,AWAY,Day/Night,WON,25640.08146,3484.481528,177,171.5,155,318,137.16,137.16
176,0,CHENNAI SUPER KINGS,MUMBAI INDIANS,AWAY,Day,LOST,26429.31434,3637.345634,173,157.5,141,3,140,140
177,0,DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,AWAY,Day/Night,LOST,26103.23699,3889.367027,181,160,137,917,118.872,107.8992
178,0,DELHI CAPITALS,KOLKATA KNIGHT RIDERS,HOME,Day/Night,WON,24807.25548,2870.751104,153,168,147,208,136,130
179,0,PUNE WARRIORS,RAJASTHAN ROYALS,HOME,Day,WON,28065.39045,2834.928661,125,155,148,590,140.7,139.87
180,1,PUNJAB KINGS,DECCAN CHARGERS,AWAY,Day/Night,LOST,21478.398,3190.430082,170,167,151,495,135,135
181,0,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,LOST,28159.42404,4795.888475,141,159,146,3,140,140
182,0,DECCAN CHARGERS,DELHI CAPITALS,HOME,Day,WON,25498.91948,3511.007564,187,169,149,495,135,135
183,0,RAJASTHAN ROYALS,CHENNAI SUPER KINGS,HOME,Day/Night,LOST,27791.14867,3831.614653,126,154.5,144,429,145.06,142.33
184,1,ROYAL CHALLENGERS BANGALORE,PUNE WARRIORS,AWAY,Day/Night,LOST,25349.77541,3107.154823,173,150.5,146,590,140.7,139.87
